wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1068.1878,0,0.58183,7.6708e-08,3.813,4.3948
1068.1977,0,0.58183,7.6719e-08,3.8131,4.395
1068.2076,0,0.58183,7.6731e-08,3.8133,4.3952
1068.2175,0,0.58183,7.6742e-08,3.8135,4.3954
1068.2274,0,0.58183,7.6754e-08,3.8137,4.3956
1068.2373,0,0.58183,7.6765e-08,3.8139,4.3957
1068.2472,0,0.58183,7.6777e-08,3.8141,4.3959
1068.2571,0,0.58183,7.6789e-08,3.8143,4.3961
1068.2670,0,0.58183,7.68e-08,3.8145,4.3963
1068.2769,0,0.58183,7.6812e-08,3.8147,4.3965
1068.2868,0,0.58183,7.6824e-08,3.8149,4.3967
1068.2967,0,0.58183,7.6836e-08,3.8151,4.3969
1068.3066,0,0.58183,7.6848e-08,3.8153,4.3971
1068.3165,0,0.58183,7.686e-08,3.8154,4.3973
1068.3264,0,0.58183,7.6872e-08,3.8156,4.3975
1068.3363,0,0.58183,7.6884e-08,3.8158,4.3977
1068.3462,0,0.58183,7.6896e-08,3.816,4.3978
1068.3561,0,0.58183,7.6909e-08,3.8162,4.398
1068.3660,0,0.58183,7.6921e-08,3.8164,4.3982
1068.3759,0,0.58183,7.6933e-08,3.8166,4.3984
1068.3858,0,0.58183,7.6946e-08,3.8168,4.3986
1068.3957,0,0.58183,7.6958e-08,3.817,4.3988
1068.4056,0,0.58183,7.6971e-08,3.8172,4.399
1068.4155,0,0.58183,7.6984e-08,3.8174,4.3992
1068.4254,0,0.58183,7.6996e-08,3.8175,4.3994
1068.4353,0,0.58183,7.7009e-08,3.8177,4.3996
1068.4452,0,0.58183,7.7022e-08,3.8179,4.3998
1068.4551,0,0.58183,7.7035e-08,3.8181,4.3999
1068.4650,0,0.58183,7.7048e-08,3.8183,4.4001
1068.4749,0,0.58183,7.7061e-08,3.8185,4.4003
1068.4848,0,0.58183,7.7075e-08,3.8187,4.4005
1068.4947,0,0.58183,7.7088e-08,3.8189,4.4007
1068.5046,0,0.58183,7.7101e-08,3.8191,4.4009
1068.5145,0,0.58183,7.7115e-08,3.8193,4.4011
1068.5244,0,0.58183,7.7129e-08,3.8195,4.4013
1068.5343,0,0.58183,7.7143e-08,3.8197,4.4015
1068.5442,0,0.58183,7.7157e-08,3.8199,4.4017
1068.5541,0,0.58183,7.7171e-08,3.8201,4.4019
1068.5640,0,0.58183,7.7185e-08,3.8203,4.4021
1068.5739,0,0.58183,7.72e-08,3.8205,4.4023
1068.5838,0,0.58183,7.7214e-08,3.8207,4.4025
1068.5937,0,0.58183,7.7229e-08,3.8209,4.4027
1068.6036,0,0.58183,7.7243e-08,3.8211,4.4029
1068.6135,0,0.58183,7.7258e-08,3.8213,4.4032
1068.6234,0,0.58183,7.7273e-08,3.8215,4.4034
1068.6333,0,0.58183,7.7287e-08,3.8217,4.4036
1068.6432,0,0.58183,7.7302e-08,3.8219,4.4038
1068.6531,0,0.58183,7.7317e-08,3.8221,4.404
1068.6630,0,0.58183,7.7332e-08,3.8223,4.4042
1068.6729,0,0.58183,7.7347e-08,3.8225,4.4044
1068.6828,0,0.58183,7.7362e-08,3.8227,4.4046
1068.6927,0,0.58183,7.7377e-08,3.823,4.4048
